                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1928,                 6.9346,                0.93865,                0.00333,                      1,                0.00948,                0.00379,                 1.4039,                 5.2149,                0.62454,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.6414,                 6.3933,                0.86886,                0.00333,                      1,                0.00921,                0.00461,                  1.023,                 5.1116,                 0.5974,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      3,                 1.8813,                 5.9076,                0.87437,                0.00333,                      1,                0.00921,                0.00461,                 1.4118,                 5.2275,                 0.6258,             0.00015842,             0.00015842,             0.00015842
                      4,                 1.7784,                 4.9226,                0.89159,                0.00333,                      1,                0.01144,                0.00343,                 1.8975,                 5.3461,                0.68134,             0.00021673,             0.00021673,             0.00021673
                      5,                 1.5333,                 3.6501,                0.90206,                0.00333,                      1,                0.01228,                0.00369,                 1.1907,                 5.3962,                0.60729,             0.00027446,             0.00027446,             0.00027446
                      6,                  1.466,                 3.6692,                 0.7955,                0.00333,                      1,                0.01363,                0.00545,                 1.0205,                 5.4718,                0.59928,             0.00033159,             0.00033159,             0.00033159
                      7,                 1.6368,                 3.2028,                0.82809,                0.00333,                      1,                0.01686,                0.00675,                 1.0319,                  5.344,                 0.6018,             0.00038812,             0.00038812,             0.00038812
                      8,                   1.66,                 3.5339,                 0.8352,                0.00333,                      1,                0.01658,                0.00663,                 1.3432,                 5.3476,                0.61746,             0.00044406,             0.00044406,             0.00044406
                      9,                 1.3251,                 2.6184,                0.84295,                0.00333,                      1,                0.01485,                0.00743,                 1.8525,                 5.3764,                0.66596,             0.00049941,             0.00049941,             0.00049941
                     10,                 1.6108,                 3.1057,                 0.8021,                0.00333,                      1,                0.01463,                0.00732,                 1.7802,                 5.3949,                0.65878,             0.00055416,             0.00055416,             0.00055416
                     11,                 1.6294,                 3.9918,                0.90319,                0.00333,                      1,                0.01605,                0.00802,                 1.2124,                 5.3336,                 0.6144,             0.00060832,             0.00060832,             0.00060832
                     12,                 1.6666,                 2.6719,                0.88304,                0.00333,                      1,                0.01442,                0.00865,                 1.4413,                 5.5223,                0.62561,             0.00066188,             0.00066188,             0.00066188
                     13,                 2.0421,                 3.1368,                0.86625,                0.00333,                      1,                0.01292,                0.00646,                 1.8477,                 5.4043,                0.65748,             0.00071486,             0.00071486,             0.00071486
                     14,                 1.5846,                 2.3219,                 0.8627,                0.00333,                      1,                0.01259,                 0.0063,                 1.5516,                 4.9935,                0.62829,             0.00076723,             0.00076723,             0.00076723
                     15,                 1.2563,                 3.6564,                0.91538,                0.00333,                      1,                0.01106,                0.00884,                 1.2264,                 4.8139,                0.61662,             0.00081902,             0.00081902,             0.00081902
                     16,                 1.3832,                 2.1626,                0.92201,                0.00333,                      1,                0.00905,                0.00724,                 1.4209,                 4.8262,                0.64063,             0.00087021,             0.00087021,             0.00087021
                     17,                 1.4109,                 2.1346,                0.90449,                0.00333,                      1,                 0.0076,                0.00608,                  1.388,                 5.1108,                0.65982,              0.0009208,              0.0009208,              0.0009208
                     18,                  1.388,                 2.3953,                0.84915,                0.00333,                      1,                0.01877,                0.01502,                 1.3506,                 4.8291,                 0.6397,              0.0009708,              0.0009708,              0.0009708
                     19,                 1.4595,                 2.4532,                0.82906,                0.00333,                      1,                  0.995,                  0.796,                 1.3318,                 4.8246,                0.62413,              0.0010202,              0.0010202,              0.0010202
                     20,                 1.2755,                 2.0543,                0.80979,                0.00333,                      1,                  0.995,                  0.796,                 1.1934,                  4.596,                0.60614,               0.001069,               0.001069,               0.001069
